,Comments,Ratings
0,"Contacted them through Yelp and the owner responded right away (though I missed the initial response since Yelp messaging is a bit out of the way).  Was able to book an appointment for the same day (great for us last minute planners!) and they also take walk-ins!  Quick check-in and friendly receptionists - they offered water or hot tea.  They offer a slew of other health and beauty treatments by licensed staff that I'll be interested in trying in the future.  Clean, tasteful, relaxing rooms, with cozy massage tables and super soft linens.  Alicia, my masseuse, listened to exactly what I needed from my massage and was amazing!!  Great for deep tissue and trigger points, also checked in routinely to make sure the pressure was just right.  I'll definitely go back!  Additionally, their location would make it great for walking the mall area after a nice relaxing spa experience.  Parking would be the only hassle I could maybe complain about - which isn't their fault, just part of downtown.  Parked at the mall which cost $18 for the 2 hours I was there - maybe have parking validation or a suggestion for less expensive parking options?",5.0
1,"I had an amazing massage yesterday! I have been dealing with a neck and shoulder injury and was in a lot of pain. I wanted a very relaxing experience but also some help releasing the level of pain I was in. Rachel did such an amazing job! This by far was the best massage I have had in a long time, let alone in Denver. She listened to exactly what I wanted and needed, and made me feel so much better and so relaxed. I left feeling so much better. She covered me in CBD and really helped me to feel like I was doing the right thing. The only thing I would recommend - being someone who LOVES a good massage and full relaxation it would say it would be amazing to add a heating pad (full length of the bed) under the sheets, as it was a little cold in the room with the air on and that would seal the deal and make this a full experience for me. Either way, I will 100% go back to Rachel, and I loved her so much I probably will get a membership so I can be consistent on getting my body back on track!Thanks for the great work!",5.0
2,"Was in town for a work conference and realized we were going to have a few spare hours that afternoon. A co-worker and I decided we desperately needed massages so I went straight to Yelp to find a spot.Fortunately not only was did you guys have openings to accommodate both of us but we're within walking distance of the hotel. Let me tell you, this was the best part of the whole conference!!Prior to our massages we both were complaining about how tight our shoulders were and that we both needed a deep massage. Well neither of us walked out disappointed! Both of us were raving that our massage therapist had to be better than the others because of the focus they paid to our problem areas. Not only that but they each gave us suggestions on what to do in our everyday lives to help alleviate future tension issues.The facility is also clean and the staff is very friendly.We both would highly recommend that anyone in the area, as well as anyone visiting from out of town, stop by if you ever need those kinks worked out. Oh, and they provide so many other services we wished we had time to take advantage of.",5.0
3,My husband and I had the best massage here! I'm picky and it was awesome!  It was the perfect amount of pressure and relaxation. We will absolutely be back!,5.0
4,"I've had a pinched nerve in my neck and serious back and shoulder pain for a few weeks and called and was able to book an appointment for the next day with Alicia (who was highly recommended for these types of injuries).  The receptionist was friendly and helpful and Alicia was excellent.  She was great for deep tissue and trigger points and by the end of the hour I had more mobility in my neck and shoulders than I'd had in a month.  Also, this is just a bit of 16th street so a great option for those of us that work in downtown Denver and need a lunch hour retreat.",5.0
5,Prenatal massage was great! Kate Lynne has strong firm grip. She didn't use too much oil and was able to maintain a firm pressure for the entire session. I would definitely come back here !! She would also be good if you needed sports massage. She had a great intuition and would stay on trigger points until they released!,5.0
6,Called and left a message requesting an appointment and they never bothered to call me back. Very disappointing...,1.0
7,"Had a massage here with my co-worker  since we where both feeling pretty tense and work across the st.  We called and the front desk person that answered was very nice and was able to get us in during our lunch hour.  According to my receipt the person that worked on me was named Danielle, she was awesome ! She made sure to check she wasn't hurting me or putting to much pressure. Best neck and upper back massage I have ever had !  Will defitnetley be doing back at least once a month. 100% recommend.",5.0
8,"Great place for a massage! Have started going almost weekly!  I like Lindsay for massages. She applies the amount of pressure you request and addresses the areas that you want massaged (some spa masseuses tend to follow their own routine, which can be frustrating). I plan to continue regular massages here.",5.0
9,This is my favorite spot in Denver for Massage and Esthetics. This spa is truly one of Denver's hidden gems. I see Lindsay for Massage and she is one of the best therapists I have ever seen. It's so refreshing to be taken care of by true professionals. I'm so glad someone recommended this spa to me.,5.0
10,"I had an excellent treatment - I have chronic muscle pain in my back and my deep tissue massage was incredible. My masseuse was very attentive to my problem areas and was sure to check-in on pressure, temperature, etc. Highly recommend!",5.0
11,"I'm visiting from out of town on a work trip and needed a massage badly. Found this cute spot on yelp and made an appointment for the same day seamlessly. It was clean, warm and welcoming. I had a great massage with CBD cream as an add on and that was amazing in itself! Something felt different from the rest of my massages and after talking with the staff.. i realized it was the CBD that made the difference for me. I'm addicted to it and just booked another appointment 2 days later. I took a star off because the room I was in was not sound really sound proof. I could here people talking. Overall I would recommend this place.",4.0
12,Not the best massage I've ever hadNice people at the front but poor execution Tried to make me feel important at the end when I told them the massage wasn't really great by giving me 30$ off.... thanks for giving my tip back really appreciate it hahaNot coming back and would not recommend,2.0
13,"Great spot for mid day quick massage or the full relaxation experience! They got me in quickly, and the massage therapist Alicia was amazing. The space was inviting, calming and well kept. It was a quiet space and the staff was very nice. I will be back!",5.0
14,"The ladies at the front and my injectionist were amazing! Got juvaderm in my lips for first time and the tox in my forehead and that line that makes you look like you have RBF, im already Russian, I dont need any help making me people think im angry. Love my results, she is a perfectionist and im so happy i got her!",5.0
15,Love this place massage and facial were amazing love love love the staff must try this place,5.0
16,I received an excellent massage here.  I will definitely return.  My sister and I did a little mini spa day here and really enjoyed ourselves.,5.0
17,"Great deep tissue/trigger point massage with CBD lotion.  The ladies at the front desk are very welcoming and helpful.  I had a 60 min. customized massage with added CBD lotion and it was great, felt so much better after having the massage my neck and shoulders finally relax from the traveling. If every in Denver CO again I will make sure to visit again!  Thanks",5.0
18,I simply love love love this place. They are always so courteous at the check in. Kaytlin is the absolute best at deep tissue massages. I refuse to see anyone else because she is that good!,5.0
19,"Not at all a ""spa"" experience. Just a bunch of rooms they do massages in. During my massage I could hear the loud air system kick on and off repeatedly. Not at all able to relax and enjoy the massage.",2.0
20,"I'm giving 4 stars instead of 5 only because the front desk (older woman) appeared to not know what's going on. We paid for a couples massage with champagne and when asked she had no clue! A younger woman did step in and fixed everything.However, our therapists Chris and Maria were amazing and the environment is absolutely calming and welcoming. The location is great as you can walk from the 16th street mall strip to here. Thank you for by far the best massage therapists.",4.0
21,Extremely well run Spa with a staff that has a great attention to detail. I have been here a few times and will continue to visit on my trips to Denver.Jess is one of the best masseuses they have. She repaired some badly worn out muscles that were causing me a lot of pain. I highly recommend this place if you are in the area.,5.0
22,Got a couples massage that included hors d'oeuvres and it was so great! I will be returning every year when I visit for Colorado Crossroads.,5.0
23,"I was in Denver with my 2 best friends on a weekend getaway (Denver was the midway point for us between Los Angeles and Wisconsin). Not only were we pleasantly surprised by how much Denver had to offer but I was particularly happy with our experience at Body Massage. I had a fantastic masseuse named Susan who gave a wonderful prenatal massage. At 7 months preggo with a very active toddler, I am pretty much aching all over all the time. This was the first massage I've gotten in almost 3 years and Susan was an absolute expert. Perfect pressure, she was able to identify sensitive areas and try to work on them (I also have scoliosis so am more apt to back pain), and kept the experience very relaxed. She was chatty without being too chatty and regularly checked in with me to make any adjustments. My other friend got a massage (which she said was great) and the other a foot massage (I will say my friend who got the foot massage did mention her masseuse seemed a bit unsure of what he was doing so Body Massage may not be the place if you're looking for reflexology - check in with the schedulers to ensure you get the right person for you). All in all it was a great experience for me and I sure do wish Susan was local to Los Angeles!",4.0
24,"One of the best massages I've ever had! They were super professional, quick to find my problem areas and now I feel like a million bucks!",5.0
25,"We had the package that included a 90 minute massage followed by hors d'oeuvres, champagne (non-alcoholic) and a 'luxury' couples gift bag (included 2 Ferro Rocher's, mini bottle of lotion, hand made guava soap, lavender bath soak, and almond oil).  In the future, I would go with just the massage.  I did not care to check back and see how much more expensive the add on was, but I don't think it was worth the extra cash.Hot cider, water or tea is offered prior to your massage.  Get the cider.  It is delisssssssh!The lobby area as well as the treatment rooms are clean and tastefully decorated.  We were able to get in last minute for a couples massage after a fun experience at the airport (ha!).We each had a good masseuse.  Pressure was spot on and feedback was sought at what felt like appropriate times.  Massage table was warm and cozy and the blankets were super soft.",4.0
26,I was visiting and looked for a place close that could take walk-ins. They had one spot open and welcomed me in quickly. Dani was my therapist and knew what she was doing.  I'd come back again if I lived here!,5.0
27,"Wow! I can't say enough about Dana. She. Was. Awesome. I have had back problems and a surgery and she was so helpful getting me comfortable AND took care to be thoughtful. I ALSO had the wonderful opportunity to have a facial by her. This combo is perfect and really wonderful to have with the same professional. She was incredibly knowledgeable about massage and skin care. I'm so glad I made a day-of appointment here. I'm so fortunate Dana was my masseuse and facial expert. Thank you, Dana!",5.0
28,I have always had great experiences here. I have purchased different services and have been satisfied all times. I really like the M'lis detox products.,4.0
29,"This was me and my partner's first time coming here and it was amazing! The service and experience was great and I'm definitely coming back! We went with the 2.5 hour special that included a 60 minute massage, 30 minute hand massage, and 60 minute facial. Joni did my facial and loved her!",5.0
30,"Scheduled a massage while I was in Denver for a 12 hour layover. They scheduled me within the hour and offered me an awesome special to save me some $$. Once I got there I was offered water and encouraged to relax on the comfy couch. The walls were lined with all kinds of goodies for purchase....lotion bars, tinctures, etc.... I bought a lotion bar which I love. Anyways, once it was time for my massage, I was greeted by Katelyn H. The next hour was AMAZING. Katelyn met my needs and then some. Conversation was great...and usually I prefer silence during the massage. Katelyn is skilled, smart and sweet- she is great at what she does and I truly felt cared for. I was in good hands. Thank you, Katelyn and the team at Body Massage Wellness Spa! I will definetly be back next time I am in Denver...",5.0
31,"While I have yet to get a spa at Body Massage Wellness, their customer service and user friendly website is top-notch. I was on and off phone calls with other local Denver spa locations to try and purchase ~10 gift cards. I was consistently transferred from one person to another to another and was hitting road blocks every where I turned, so many hoops to jump through to just purchase gift cards (and a good amount at that). When I found Body Massage Wellness online, they had a link to ""instant gift certificates"" that was so simple to use  and easy to find. I had one questions, gave the location a call, and the first person I talked to guided me to the solution of my questions within 5 minutes, I was not passed along to anyone, no roadblocks came up, and she gave me a $25 gift card on the phone call as a courtesy. If there spa services are anything like their customer service -- I recommend everyone goes here. Well done!",5.0
32,"What a little hidden gem! My company was kind enough to give each of us IJL girls a spa treatment, and I went with the custom massage. First of all, we usually go to the Brown Palace, but recently we've felt that the service just isn't as good. It's good, but a little weak for the pricing. I need a masseuse with some oomph! After it was booked, I read the previous reviews which were mostly favorable with a few one-offs. Upon walking in, I was slightly bummed that there wasn't a great locker room with lemon water, no fancy bathrobes and slippers, and the front desk lady seemed entirely peeved. Definitely a little lack of professionalism up front. Then along came Mary... My massage therapist. She was pretty and tiny, which I immediately assumed would mean she wouldn't have much ability to really go deep. Let me back up... Always show up about 15 mins prior to your appointment bc you must fill out paperwork. In the paperwork they ask you what type of pressure you like and other massage related preferences. Again, after hundreds of weak massages in my life, I was prejudiced! I totally assumed Mary was going to fall into the light touch category. Boy was I wrong! I asked for a 7 out of 10, and Mary delivered. I probably could have gone with a 6, but with enough breath, it was divine. Heavenly. I have not enjoyed a massage this much in years and years. She was consistent, attentive, strong as heck, but then at the same time gentle. I highly highly highly recommend this spa. Why the 4 stars not 5? ESP bc if anyone follows me they know I'm a comparative yelper!? Well I've touched on parts, but mostly it was the lobby, but I do understand that it's downtown Denver and there's not a lot to work with. BUT... When I walk into a spa I wanna feel I'm in a spa. Wine would be a nice offering, but not required for 5 stars. And the rooms were a little chilly and had sorta weird decor. I still think 4 is pretty good!",4.0
33,"I was in Denver for business after driving across the country to get my son moved in for college. By the time I got to Denver after 4 days of non-stop travel I was tired, stressed and my back and feet were in agony. I found the Wellness Spa and it was just a few blocks from my hotel so I decided to give it a try. All I can say was AMAZING! Garrett worked magic on my back and I walked out pain free and totally relaxed. I will definitely be back the next time I'm in Denver. Everyone was really nice and the rates were reasonable, especially for Downtown Denver.",5.0
34,"While walking by, I stopped in and picked up a brochure. Called shortly after and was able to book the next day. My first concern was that I should not have been able to get in so quickly. I was wrong to be concerned. This wonderful spa has several therapists on hand and a large selection of services. I chose a preferred package and floated out 90 minutes later. Looking forward to returning. Morgan,  FOH, was very helpful. My therapist was Mimi.",5.0
35,"I was in town for a conference and passed this place several times. Finally on the last evening I decided to give it a try. I was initially going to get the 20 min stress buster massage but I was told to come back for the first available spot about an hour, which was fine since I was a walk-in. I came back as asked but the slot had been taken. I was offered a 30 min massage instead 1.5 hours later. Again, since I didn't make an appointment, I agreed to come back. Best decision I made during my Denver trip. My masseuse Amy was wonderful, and was able to do magic in just a short time. She adjusted pressure appropriately and just was very skilled at her job. My only regret is that I didn't have enough time to get a full massage. Thank you so much!",5.0
36,"I was staying at a close by hotel, and being in training all day I needed a massage.  They recommended this one.  I'm glad they did.  They worked me in that day and were professional, friendly, and helped me a lot!  I would definitely go back.  Wish I could get them all the time!",5.0
37,Got a couples massage with the Chandelier package. Honestly staff was great and therapists were communicative. The reason for the 3 stars is based on the value. It was over priced.,3.0
38,I had a great experience here. It's conveniently located in downtown. It's clean and well maintained. My massage was excellent and my masseuse was professional and well trained. Highly recommend.,5.0
39,"Super quick response! Easy to book an appointment, just called a day ahead. Clean and relaxing environment, and the therapists were very responsive to your needs and wants! Definitely would recommend to everyone looking for a relaxing or deep tissue massage!",5.0
40,Great couples massage with aromatherapy & back scrub! Got in last min with no problem! Great location! Such an excellent addition to our vacation!,4.0
41,"This place is incredible. Incredible service and an incredible experience all around. I did the 2.5 Joe spa package and left feeling so relaxed that I shouldn't have been allowed to drive. Maria, my massage therapist, really personalized my experience and took the time to listen to my ails and tailor my experience to them. I will absolutely be returning!",5.0
42,They were pretty decent. I took my mom for a mother-daughter outing and she loved everything about her massage.,4.0
43,"Such a fabulous experience, I clicked a button on the website & someone called back right away.  My facial and deep tissue massage were among the best I've experienced.  Patricia was quick to check in with me to see if the pressure was enough.  I'm a happy girl...",5.0
44,Hands down my favorite massage spot in downtown!!  I've been coming here for over a year and have never been disappointed,5.0
45,"I was staying at the nearby Grand Hyatt and passed by this unassuming place several times on my way to the Convention Center. I was desperately in need of a massage, so based on other Yelp reviews I decided to give it a shot. I was able to book a 90 minute ""Preferred massage"" for the same day.  The staff was courteous and welcoming. My measure of an excellent massage therapist is how well they can locate tense areas and knots without me saying a word.   My massage therapist, Andrew, was phenomenal. He was skilled and sought appropriate feedback throughout on pressure, comfort, etc.  I had no idea I was carrying so much tension in my shoulders!! I highly recommend this place! Request Andrew and you won't be disappointed!",5.0
46,My husby and I did a couple massage and got more than we paid for.  For $170 we got a couple's 60 min massage with aromatherapy and hot towels plus an exfoliating scrub and moisturizer.  The staff was very friendly and even gave us a little gift not t to mention the gift of my neck ache being gone!,5.0
47,"I've been visiting this spa over the past 4-5 years and I have never left less than 100% satisfied. They have a wide variety of specialty massage therapists, so I am always able to get an appointment even if it's last minute. All of the therapists take time to listen to your needs and ensure you get precisely what you want out of the massage session. I also have had the best experience here with laser hair removal! Not only is it affordable, but the experience is quick, efficient and comfortable. I've tried 3 other spas for laser hair removal and will never go anywhere else now that I've gone to Body Massage Wellness. Their laser machines are top of the line, and the staff does a great job of promoting when the spa gets new machines or new techniques. Lastly, I love the products that the spa offers and I never feel pressured to make purchases after I have a service done.  Overall, I love the friendly staff, ease of making appointments, simple text-confirmations, outstanding services (massage, laser hair removal and products) and the reasonable prices of this spa. I recommend this spa to all of my family and friends!!",5.0
48,Eric offered the perfect massage for my stressed out shoulders and traps.He continued to check on the amount of pressure he was using and adjusted well to my muscle tension.  Great chair massage!,5.0
49,"I was gifted with Kevin, the masseuse for my massage. He was amazing and I'm very particular.  I have been getting massages in Korea town in NYC for years.  He is a true expert. Will definitely be back.",5.0
50,"I had Nicholas for a full body therapeutic massage. As a runner, it was one of the best leg massages I've ever had. The additional aromatherapy was a nice, inexpensive enhancement. I will come back here when I come back to Denver",5.0
51,The five star review is garnered by body worker Melissa. My 20 minute chair massage was as thorough as one could be. Wish I had the time for an hour or more on the table. Way to be awesome at your craft Melissa.The establishment itself offers walk-in service and the body work options were totally cost-competitive considering their location in a major metropolitan area.Next time I am downtown with time to bide I will return.,5.0
52,"Fantastic place for a massage, especially if you go to Melissa. My boyfriend and I both go to her, and we both think she's fantastic. She really gets those knots out and stretches your muscles. She did wonders for the salsa- and Krav-Maga-crippled body.",5.0
53,"1. An unclean towel was used used to wipe facial products off my face. I could hear her rinsing the  towel in the sink behind the table I was lying on. After my facial I examined the room to confirm that indeed one towel was repeatedly used to wipe facial products from my face. I observed the sink being used to rinse the towel was not clean. Using an unclean towel from a dirty sink to wipe my face is unhygienic. 2. Facial products were smeared over and into my eye. During facials the eye area is supposed to be avoided with the facial cleansing products. 3. My right eye became irritated and inflamed and swollen due to having facial products smeared over it and into it. This is unacceptable. 4. I had come to the spa there on welton with the idea to relax before my trip home on Friday morning. Instead, my right shoulder was massaged in a rough and harmful manner and resulted in  I severe pain in my right sternocliedomastoid muscle and my right shoulder area. I have took Tylenol for the pain and soaked the shoulder in warm water, and the pain was unrelieved. The LMT pinched the shoulder muscle, and caused the severe discomfort. 5. The facial is described on website as being performed by an experienced person. This is not my experience and instead of returning home relaxed and rested, I needed to go to urgent care for assessment and treatment of right eye inflammation. I regret making the appointment at the spa there on Welton and I resent spending my hard earned money on such substandard service. The manager Houston replied to my complaint in a disingenuous manner and at first offered some complimentary bath salts and later only offered any refund if I would agree to be a ""secret shopper"". What an awful person. Avoid this place. Avoid Kirk, Maria, and Houston. There are better places in Denver.1-2016 - heads up. The owner contacted me through yelp to inquire for more info. Be warned. It was another insincere and unhelpful action. Despite me providing the owner of the with information update, there was still no apology, and not a single effort to address the horrendous experience I had. Be forewarned - this business is low quality and from the individual masseurs, and employees, the manager and even the owner - they are not customer focused or quality focused. If your experience goes well - count yourself lucky- but if your experience does not go well - don't expect them to make it right. They won't, but they will play at making insincere comments and responses on yelp in order to trick future customers from yelp to get sucked in.",1.0
54,Susan gave a fantastic deep tissue massage. Highly recommend her and the spa!,5.0
55,"My wife had the best massage of her life with Chris. We had just finished a 6 day bike tour and her muscles were screaming. Chris was perfect in every way. The front staff was also warm, friendly and professional. Give them a try.",5.0
56,I enjoyed my massage and facial and Susan was great as well as my esthetician but it is definitely over priced. I was expecting some elaborate experience and just did not get that. The hor dourves were that of vending machine quality.,3.0
57,"Place seemed kind of dumpy and just not very clean. People were really nice though. Massage wasn't that great. I had Chris. The massage part was ok but didn't care for the karate chopping. That wasn't relaxing at all. Plus, he moved the table around while I was lying on it in the middle of my massage. Didn't think that was to relaxing either. Cost to much for what it was. Probably wouldn't go back.",3.0
58,Great 20 chair massage with Chris Went in with stiff neck and they were able to get me in quickly and back on my with much improvement! Thanks!,4.0
59,What a great spot. Easy to get an appointment especially if you are just in town for the night.  Drew was fantastic,4.0
60,"I had a free afternoon on a work trip to Denver and really needed specific work done on my back and hamstring.   I found Body Massage two blocks from my hotel on the Mall and booked a 60 minute massage.... My therapist Tiffany spent a couple minutes getting to know my problem, activity level, and my goals for the session.  I was totally blown away by the time an hour passed.  Tiffany focused on my needs and really nailed the therapy!  Great job Tiffany.... And thank you Body Massage for having a great staff and perfect location for the Denver business traveler.  BV",5.0
61,"I found this place due to proximity of my hotel. I was assigned to Chastity, found her to be very professional, talented and easy to work with. After my 1st session, couldn't get enough that I had to come back for more 2 days later. Chastity is the real deal!",5.0
62,Probably one of the best massages I have ever had. Was sore from running and  Lori worked it out.,5.0
63,"I purchased a laser package via a Groupon/Living social deal and the Shellac mani from crowd savings.  I've found all of the staff to be decently nice overall. Thankfully I didn't have the same experience detailed below with my Shellac mani.  Mine came out well & Thuy was very pleasant to me, but I didn't feel the whole experience was something that rocked my world so much that I would go back there frequently for the service.  So far my laser appointments have been nice, but this is my first experience with it so I don't have much to compare it with.  I did have an appointment where I was stuck in traffic & trying to find a place to park. I called ahead by 15 minutes to let them know I would be a little late due to the traffic. The receptionist never told the gal I had an appointment with that I was running late & she was not real happy with me. She pointed out that ""next time"" I should call ahead.  When I explained to her that was exactly what I did she was more understanding.  The biggest deterrent with this place that would keep me from returning is dealing with parking.  It is virtually impossible to find a spot at a meter, and the lots in the area are very expensive which is a huge aggravation.  Your best bet is to park under Denver Pavillions & just walk over.  The night I was running late for my appointment, there was a concert at the Paramount (which is on the other side of the block) and even the parking lots close by were full which made me more late from having to park further away & I had to pay $10 for a 15 minute appointment. That's just not worth it for me. You almost have to give yourself 30 mins extra time prior to your appointment to make sure you can get a parking spot, & with a meter, you'll be paying extra if you happen to snag one if you get there that early!I would recommend checking out the Lotion bars that they sell!  They are great.",3.0
64,"I have to admit, I am a serial massage therapy client. I go to spa after spa in search of an amazing massage therapist who makes me want to become a return customer. But, Scott, at Body Massage Wellness, may have changed all that! He had a great therapeutic touch and he does neuromuscular massage, sports massage, and reflexology. He was able to identify and treat my problem areas without me prompting him. Great job!Things to know before you go: Body Massage Wellness is downtown so be prepared to search for parking.",5.0
65,This place is amazing and won't disappoint! I get weekly massages and I have to admit this is one of the best places I have found while traveling.  I was in total pain when I arrived and when I left I felt normal.  Jennifer was the best.  I'm going back as much as I can before I leave.,5.0
66,"I was so happy we were able to get a last minute appointment today for a couples massage. It was discounted by 15% (Thanks, Yelp!), so it was a very reasonable $160. I would highly recommend them. Tiffany and Chris are very knowledgeable and attentive to the needs of their clients.",4.0
67,"I received a gift certificate for a massage and mani/pedi at this spa for my birthday. I was very happy with my massage, but would not recommend this place for a mani/pedi. They do the mani/pedis in a small dark room in the back. It seemed like it was an afterthought to offer these services and they had just thrown some chairs and a table in an empty massage room.",3.0
68,"Love the professional service and wonderful experience.  I've been a client for over a year now for laser, Botox, and filler treatments.  Amy is very knowledgable, makes great recommendations, and makes the experience comfortable.   I recommend this Body Massage Wellness Spa to anyone looking for wellness services in Denver.  Prices are great, appointments are easy to schedule, always on time.",5.0
69,"Best service and customer service ever! From the booking phone call to the greet and customer care throughout! They had it all.I had requested upon arrival that we needed a referral to get my mothers hair done after we were done there and they not only provided some suggestions, Breigh called and booked her appointment for her! She also fit in a few extra services for my mom that she needed without batting an eye! My mom said it was the ""best massage"" she has ever had, thanks to Chasity! Our pedi & facials were outstanding as well ~ thanks Mai & RikkiVery classy ladies; keep it up",5.0
70,"My boyfriend and I came in highly recommended all the way from Michigan. He had the best massage he has ever had with Heidi. As I work at a spa as well, it was a completely exceptional experience. My facial was with Tina. All I can say is WOW! she blew me away with her facial techniques and soft touch. Thank you for an outstanding experience!",5.0
71,I was in town on business and wanted to fit in a massage. They quickly accommodated me and I am very grateful because I left feeling like a new person !!!!!  Would definitely recommend them and will be back whenever I am in town.,5.0
72,"I bought the lastest waxing/shellac mani/regular pedi combo coupon.  My appointment was rescheduled once due to some one not showing up so that was a little disappointing but they did give me a lot of notice.  I was scheduled a week later. My appt was at 4 which I arrived on time and was not seen until almost 4:30.  No expIanation either, just a ""we'll be with you soon"".  I had to run out to the meter and add money because I was worried about a ticket.The waxing was just OK.  I realized once the redness went away that there was a good deal of hair missed on my lip.  That was a bummer.Thuy did a great job on my toes but the shellac mani is already peeling off my nails and it's only been a week.  the mani took maybe 20 minutes, the pedi about the same.  I felt rushed and not pampered at all.Will not go back nor recommend this place.",2.0
73,"I been going to Body Massage Wellness for several years now! Finally getting around to writing them the review they deserve. Body Massage truly is a gem in the city, an oasis for those of us in the Downtown grind. I have had at least 5 massages and all have been excellent. Dayl in particular is an amazing therapist, able to put me back together after a rough workouts and long hours. I really enjoy the ambiance at Body Massage Wellness, when you walk in you are immediately relieved of stress. They did a great job of creating a relaxing atmosphere. I am always greeted warmly and offered tea or water. The level of attention you receive is on par with any destination spa I have visited. The spa also has a nice range of treatments, facials, herbal tonics to remedy any ailment. Peggy in particular is very knowledgeable and intuitive and was able to get me several treatments that really helped.I haven't tried any of the laser treatments yet but plan to do so in the future! From what I understand they have top of line Zerona lasers.All in all this is my spot to keep me sane and healthy! I can't imagine doing it without them. Their gift cards also make a really nice gift and I regularly buy them for employees and friends as I know they will be well taken care of.Do yourself a favor and schedule an appointment!",5.0
74,"I got the full body detox. It was wonderful my only wish is that it feel more spa like. There was no door into the break room so I could hear them taking their breaks/eating etc. But other than that this was a great location, employees were nice and helpful and I really enjoyed myself.",4.0
75,Flew in from LA to Denver stuck in coach. My back was a mess.  The hilton recommended body massage wellness spa.  Julia was awesome!  She worked the serous kinks that the back of a plane can cause.  Highly recommend this very professional establishment and Julia.,5.0
